"Dummy ID","Parent/Guardian 1","Parent/Guradian 2"
"3.0285127E7","Graduated trade school","Graduated from high/secondary school (or equivalent)"
"3.0346682E7","Graduate school","Some college/university"
"3.0374138E7","Some grade/primary school",""
"3.0417389E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.011016E7","Graduated from college/university","Some trade school"
"3.0278965E7","Graduated from college/university","Graduated from college/university"
"3.0368847E7","Graduated from college/university","Graduate school"
"3.0352298E7","Graduate school","Graduated from college/university"
"3.0141672E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0180763E7","Graduated from college/university","Graduate school"
"2.996157E7","Graduated from college/university","Some college/university"
"3.0264262E7","Graduated from college/university","Graduated from college/university"
"3.0224196E7","Graduate school","Graduated from college/university"
"2.9359176E7","Graduated from college/university","Graduated from college/university"
"3.0178384E7","Graduated from college/university","Graduated from college/university"
"3.0192632E7","Graduated from college/university","Graduated from college/university"
"3.0370277E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.0151903E7","Graduated from college/university","Graduated from college/university"
"3.0243163E7","Graduated from college/university","Some trade school"
"2.9964586E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0079155E7","Graduated from college/university","Graduated from college/university"
"3.0387502E7","Graduate school","Graduated from college/university"
"3.032544E7","Graduated from college/university","Graduated from college/university"
"3.0498548E7","Graduated from college/university","Graduated from college/university"
"3.0189122E7","Graduated from college/university","Graduated from college/university"
"2.9965522E7","Graduated from college/university","Graduated from college/university"
"3.0258347E7","Graduated from college/university","Graduate school"
"3.0399865E7","Graduated from college/university","Graduate school"
"3.0357355E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0090946E7","Graduate school","Graduated trade school"
"3.0195921E7","Graduated from high/secondary school (or equivalent)","Some college/university"
"3.0477813E7","Graduated from college/university","Graduated from college/university"
"3.0530567E7","Graduate school","Graduated from college/university"
"3.0290444E7","Graduated from college/university","Graduated from college/university"
"3.0212769E7","Graduated from college/university","Graduated from college/university"
"3.0308943E7","Graduate school","Graduate school"
"3.057881E7","None",""
"3.0213484E7","Graduate school","Graduate school"
"3.0203578E7","Graduated from college/university","Graduated from college/university"
"3.0104193E7","Graduate school","Graduate school"
"3.0306798E7","Graduated from college/university","Graduate school"
"3.0173366E7","Graduated from college/university","Graduated from college/university"
"3.0281006E7","Graduated from college/university","Graduate school"
"3.0112669E7","Graduated from college/university","Some college/university"
"3.0311218E7","Graduate school","Graduate school"
"3.0105012E7","Graduate school","Graduated from college/university"
"3.018231E7","Graduated from college/university","Graduate school"
"3.0101021E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.0310334E7","Graduated from college/university","Graduated from college/university"
"3.0318043E7","Graduated from college/university","Graduated from college/university"
"3.0320617E7","Graduated from college/university","Some college/university"
"3.0213367E7","Some trade school","Graduated from high/secondary school (or equivalent)"
"3.0298829E7","Graduated from high/secondary school (or equivalent)","Graduate school"
"3.0126761E7","Graduated trade school","Graduated from college/university"
"3.0248285E7","Graduated from college/university",""
"3.0393508E7","Graduate school","Graduated from college/university"
"3.0512783E7","Graduated from high/secondary school (or equivalent)",""
"3.0293044E7","Graduated from college/university","Graduated from college/university"
"3.0172859E7","Graduate school","Graduated from college/university"
"3.0086851E7","Graduated from college/university","Graduated from college/university"
"3.0364414E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0208089E7","Graduated from college/university","Graduated from college/university"
"3.0102581E7","Graduated from college/university","Graduated from college/university"
"3.0498171E7","Some high/secondary school","Graduated from college/university"
"3.0108847E7","Graduated from college/university","Graduated from college/university"
"3.0171455E7","Graduated trade school","Graduated from college/university"
"3.0205112E7","Graduate school","Graduated from college/university"
"3.0215694E7","Graduated from college/university","Graduated from college/university"
"3.0084875E7","Graduate school","Graduated from college/university"
"3.0256891E7","Graduated from college/university","Graduate school"
"3.0213653E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0180334E7","Some college/university","Graduated from college/university"
"3.0316171E7","Graduated from high/secondary school (or equivalent)","Graduate school"
"3.0286089E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.0295865E7","Graduate school","Graduated from college/university"
"3.0227667E7","Graduated from college/university","Graduate school"
"2.9962233E7","Graduated from college/university","Graduated from college/university"
"3.0115945E7","Graduated from college/university","Graduate school"
"3.0185885E7","Graduated from college/university",""
"3.0289937E7","Graduated from college/university","Graduate school"
"3.0527044E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0328612E7","Graduated from college/university","Graduated from college/university"
"3.0367417E7","Graduate school","Graduated from college/university"
"3.0494154E7","Graduated from high/secondary school (or equivalent)","Some high/secondary school"
"3.032401E7","Graduate school","Graduated from college/university"
"3.0238327E7","Graduate school","Graduate school"
"3.0398305E7","Graduated from college/university","Graduated from college/university"
"3.030022E7","Graduated from college/university","Graduated from college/university"
"3.0089685E7","Graduate school","Graduated from college/university"
"3.0075099E7","Graduated from college/university","Graduated from college/university"
"3.0225119E7","Graduated from college/university","Graduated from college/university"
"3.0111759E7","Graduate school","Graduate school"
"3.0213445E7","Some college/university","Some trade school"
"3.0168608E7","Graduate school","Graduate school"
"2.997353E7","Graduated from college/university","Graduate school"
"2.9962883E7","Graduated from college/university","Graduate school"
"3.0340949E7","Graduated from college/university","Graduate school"
"3.0343094E7","Graduated from college/university","Graduated from college/university"
"3.04271E7","Graduated from college/university","Graduated from college/university"
"3.0174653E7","Graduated from college/university","Graduate school"
"3.0317653E7","Graduated from college/university","Graduated from college/university"
"3.0199795E7","Graduated from college/university","Graduated from college/university"
"3.0171832E7","Graduate school","Graduated from college/university"
"3.0379364E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0284776E7","Graduate school","Graduate school"
"3.0167412E7","Graduated from college/university","Graduated from college/university"
"3.0311725E7","Graduated from college/university","Graduated from college/university"
"3.0192112E7","Graduate school","Graduated from college/university"
"3.0105428E7","Graduated from college/university","Graduated from college/university"
"3.0225314E7","Graduated from college/university","Graduate school"
"3.0130752E7","Graduated from college/university","Graduated from college/university"
"3.0311543E7","Graduate school","Graduate school"
"3.0112201E7","Graduate school","Graduated from college/university"
"3.010782E7","Graduate school","Graduate school"
"3.0323399E7","Graduate school","Graduate school"
"3.0328417E7","Graduate school","Graduate school"
"3.0111967E7","Graduated from college/university","Graduate school"
"3.0076568E7","Graduate school","Graduate school"
"3.0136576E7","Graduated from high/secondary school (or equivalent)","Graduate school"
"3.0202746E7","Graduated from college/university","Graduate school"
"3.0238444E7","Some college/university","Some high/secondary school"
"3.0249702E7","Graduated from college/university","Graduated from college/university"
"3.0348593E7","Graduate school","Some college/university"
"3.0400463E7","Graduated from college/university","Some college/university"
"3.0244372E7","Graduated from college/university",""
"3.0142114E7","Graduated from college/university","Graduated from college/university"
"3.0080182E7","Graduated from high/secondary school (or equivalent)",""
"3.0101853E7","Graduate school","Graduate school"
"3.0375828E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0079259E7","Graduated from college/university","Graduate school"
"3.0149667E7","Graduate school","Graduated from college/university"
"3.0354274E7","Graduated from college/university","Graduated from college/university"
"3.0335671E7","Some college/university",""
"3.0170155E7","Graduated from college/university","Graduated from college/university"
"3.0151162E7","Graduate school","Graduate school"
"3.0410746E7","Graduate school","Graduated from college/university"
"3.0328924E7","Graduated from high/secondary school (or equivalent)",""
"3.0201238E7","Graduate school","Graduate school"
"3.0441478E7","Graduate school","Graduate school"
"3.0341859E7","Graduated from college/university","Graduated from college/university"
"3.0302638E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0225886E7","Graduated from college/university","Graduated from college/university"
"3.0424045E7","Graduated from college/university","Some college/university"
"3.0228629E7","Graduate school","Graduated from college/university"
"2.9962805E7","Graduate school","Graduate school"
"3.032869E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.0260388E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0096822E7","Graduated from college/university","Graduated from college/university"
"3.0278588E7","Some college/university","Graduated from college/university"
"3.0335827E7","Graduate school","Graduated from college/university"
"3.0335268E7","Graduate school","Graduated from college/university"
"3.031855E7","Some trade school","Graduate school"
"3.0185417E7","Graduate school","Graduated from college/university"
"3.0317497E7","Graduated from high/secondary school (or equivalent)","Some college/university"
"3.0298374E7","Graduated trade school","Graduate school"
"2.9365156E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0540954E7","Graduated from college/university","Graduated from college/university"
"3.0299986E7","Graduate school","Graduated from college/university"
"3.0153073E7","Graduate school","Graduate school"
"3.0177383E7","Graduate school","Graduate school"
"3.0407652E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0354053E7","Graduated from college/university","Graduated from college/university"
"3.0347111E7","Graduated from college/university","Graduated from college/university"
"3.0179034E7","Some college/university","Graduated from college/university"
"3.036925E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0321527E7","Graduated from college/university","Graduate school"
"3.0328235E7","Graduate school","Graduated from college/university"
"3.0200692E7","Graduate school","Graduated from college/university"
"3.0115906E7","Graduate school","Graduate school"
"3.0255175E7","Graduate school","Graduate school"
"3.0179385E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0294656E7","Graduated from college/university","Graduated from college/university"
"3.022703E7","Graduated from college/university","Graduated from college/university"
"3.0234076E7","Graduated from college/university","Graduated from college/university"
"3.0152904E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0414204E7","",""
"3.0079272E7","Graduated from college/university","Graduate school"
"3.0510976E7","Graduated from college/university",""
"3.025212E7","Graduated from college/university","Graduated from college/university"
"3.0239744E7","Some college/university","Some college/university"
"3.0179112E7","Graduate school","Graduate school"
"3.023392E7","Graduated from college/university","Graduate school"
"3.0412748E7","Graduated from college/university","Graduated from college/university"
"3.0231294E7","Graduated from college/university","Some college/university"
"3.010938E7","Graduate school","Graduate school"
"3.0221765E7","Graduated from college/university","Graduated from college/university"
"3.0132195E7","Graduated from college/university","Graduate school"
"3.0291237E7","Some college/university","Graduate school"
"3.0254369E7","Graduate school","Graduated from college/university"
"3.0170402E7","Graduate school","Graduate school"
"3.0315716E7","Graduated from college/university","Graduated from college/university"
"3.0372071E7","Graduated from college/university","Graduated from college/university"
"3.033207E7","Graduated from college/university","Some trade school"
"2.9361256E7","Graduated from college/university","Graduated from college/university"
"3.0192424E7","Some college/university","Graduated from college/university"
"3.0148549E7","Graduate school","Graduated from college/university"
"3.0211274E7","Graduated from college/university","Graduated from college/university"
"3.0176824E7","Graduate school","Graduate school"
"3.0449252E7","Graduated trade school","Graduated from college/university"
"3.014825E7","Graduate school","Graduated from college/university"
"3.0241967E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0305043E7","Graduate school","Graduate school"
"3.0369328E7","None","None"
"3.0526797E7","",""
"3.0259504E7","Graduate school","Graduate school"
"3.0095912E7","Graduate school","Graduate school"
"3.015657E7","Graduate school","Graduated from college/university"
"3.0364349E7","Graduated from college/university","Graduated from college/university"
"3.016814E7","Graduate school","Graduate school"
"3.0211534E7","Graduated from college/university","Graduated from college/university"
"3.0183636E7","Graduate school",""
"3.0302027E7","Graduated from college/university","Graduated from college/university"
"3.028995E7","Graduated from college/university","Graduated from college/university"
"3.0263053E7","Graduate school","Graduate school"
"3.0365207E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0167724E7","Some college/university","Graduated from college/university"
"2.9965405E7","Graduated from college/university","Graduate school"
"3.0395939E7","Graduate school","Graduated from college/university"
"3.0108821E7","Graduate school","Graduate school"
"2.9940198E7","Graduated from college/university","Graduated from college/university"
"3.0288832E7","Graduate school","Graduated from college/university"
"3.0196831E7","Graduated from college/university","Graduated from college/university"
"3.011861E7","Graduate school","Graduate school"
"3.0082405E7","Graduate school","Graduated from college/university"
"3.0075814E7","Graduated from college/university","Graduated from college/university"
"3.0334852E7","Graduated from college/university","Graduate school"
"3.0169258E7","Graduated from college/university","Graduated from college/university"
"3.0156609E7","Graduate school","Graduate school"
"3.0116868E7","Graduated from college/university","Some college/university"
"3.0144792E7","Some college/university","Graduated from college/university"
"2.9718548E7","Graduate school","Graduate school"
"3.0175901E7","Graduated from college/university","Graduated from college/university"
"3.0369081E7","Graduated from college/university","Graduated from college/university"
"3.020103E7","Graduate school","Graduated from college/university"
"3.0290574E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0300077E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0246244E7","Graduated from college/university",""
"2.9620086E7","Graduate school","Graduate school"
"3.0190838E7","Graduate school","Graduated from college/university"
"3.018985E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0381847E7","Graduated from college/university","Graduated trade school"
"3.0508688E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0208193E7","Graduated from high/secondary school (or equivalent)","Graduated trade school"
"3.0446977E7","Graduate school","Some trade school"
"3.0312024E7","Graduated from college/university","Graduated from college/university"
"3.0087826E7","Graduated from college/university","Some trade school"
"3.0319837E7","Graduated from college/university","Graduated from college/university"
"3.0247011E7","Graduated from college/university","Graduate school"
"3.0079064E7","Graduate school","Graduated from college/university"
"3.0280343E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.046662E7","Some high/secondary school","Some college/university"
"3.0317224E7","Graduate school","Graduated from college/university"
"3.0289144E7","Graduated from college/university","Graduated from college/university"
"3.0240017E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0111681E7","Graduate school","Some college/university"
"3.0189369E7","Graduated from college/university","Graduated from college/university"
"3.0241473E7","Graduate school","Graduate school"
"3.0289677E7","Graduated trade school","Graduate school"
"3.0154113E7","Some college/university","Graduated from college/university"
"3.0204904E7","Graduate school","Graduated from college/university"
"3.0213679E7","Some college/university","Some college/university"
"3.015176E7","Graduated from college/university","Some college/university"
"3.0389621E7","Graduated from college/university","Graduated from college/university"
"3.0284815E7","Some college/university","Graduate school"
"3.0174718E7","Graduated from college/university","Graduated from college/university"
"3.0287051E7","Graduated from college/university","Graduated from college/university"
"3.0309437E7","Graduated from college/university","Graduated from college/university"
"3.0225964E7","Some college/university","Some college/university"
"3.0301897E7","Some college/university","Some college/university"
"3.018491E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0109679E7","Graduated from college/university",""
"3.0169063E7","Graduated from college/university","Graduate school"
"3.0285023E7","Graduated from college/university","Graduated from college/university"
"3.0279602E7","Graduated from college/university","Some college/university"
"3.0193373E7","Graduated from college/university","Graduated from college/university"
"3.026122E7","Graduate school","Graduate school"
"3.0399189E7","Graduated from college/university","Graduated from college/university"
"3.0190409E7","Graduated from college/university","Some college/university"
"3.0299063E7","Graduated from college/university","Graduated from college/university"
"3.0190071E7","Graduated from college/university","Graduated from college/university"
"3.0158481E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0213575E7","Graduated from college/university","Graduated from college/university"
"3.0084329E7","Graduated from college/university","Graduated from college/university"
"3.0277171E7","Graduated from college/university","Graduate school"
"3.0276274E7","Graduate school","Graduated from college/university"
"3.0366338E7","Graduated from college/university","Graduated from college/university"
"3.0142621E7","Graduated from college/university","Graduated from college/university"
"3.0129374E7","Graduated from college/university","Graduated from college/university"
"3.0432781E7","Graduated from college/university","Graduated from college/university"
"3.0332109E7","Graduate school","Graduate school"
"3.0280382E7","Graduated from high/secondary school (or equivalent)","Some high/secondary school"
"3.0311595E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0309593E7","Graduated from college/university","Graduate school"
"3.0291588E7","Graduated from college/university","Graduated from college/university"
"3.0233413E7","Graduated from college/university","Graduate school"
"2.9966081E7","Graduated from college/university","Graduated from college/university"
"3.0243709E7","Graduated from college/university","Graduated from college/university"
"3.0213861E7","Graduate school","Graduated from college/university"
"3.026525E7","Graduate school","Graduate school"
"3.0214875E7","Graduated from college/university","Graduate school"
"3.0226549E7","Graduated from college/university","Graduated from college/university"
"3.0300779E7","Graduate school","Graduated from college/university"
"3.0406963E7","Some college/university","Graduated from college/university"
"3.0307877E7","Graduated from college/university","Graduated from college/university"
"2.9963741E7","Graduated from college/university","Graduate school"
"3.0263183E7","Graduate school","Graduated from college/university"
"3.0359422E7","Graduated from college/university","Graduate school"
"2.9957475E7","Graduated from college/university","Graduate school"
"3.0284373E7","Graduate school","Graduate school"
"3.0351219E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0176447E7","Graduate school","Graduate school"
"3.0322476E7","Graduated from college/university","Graduated from college/university"
"3.0274766E7","Graduated from college/university","Graduated from college/university"
"3.0259153E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0151786E7","Graduated from college/university","Graduate school"
"3.0396771E7","Graduated from college/university","Some college/university"
"3.0281357E7","Graduated from college/university","Graduated from college/university"
"3.0356224E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0458209E7","Graduated trade school","Graduated from high/secondary school (or equivalent)"
"3.0235272E7","Graduated from college/university","Some high/secondary school"
"3.0329847E7","Graduated from college/university","Some college/university"
"3.0131194E7","Graduated from college/university","Graduated from college/university"
"2.9963078E7","Graduated from college/university","Graduate school"
"3.0387515E7","Graduated from college/university","Graduated from college/university"
"3.0249182E7","Graduated from college/university","Graduated from college/university"
"3.0117258E7","Graduated from college/university",""
"3.0108158E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.033818E7","Graduated from college/university","Graduated from college/university"
"3.0296112E7","Graduate school","Graduated from college/university"
"3.0152501E7","Graduate school","Graduated from college/university"
"3.0394834E7","Graduated from high/secondary school (or equivalent)","Graduate school"
"3.0144948E7","Graduated from college/university","Graduated from college/university"
"3.0128932E7","Graduated from college/university","Graduate school"
"3.0239263E7","Graduated from college/university","Graduate school"
"3.0217254E7","Graduated from college/university","Graduated from college/university"
"3.0310555E7","Graduated from college/university","Some trade school"
"3.0281396E7","Graduated from college/university","Graduated from college/university"
"3.009417E7","Graduated from college/university","Graduated from college/university"
"3.0163486E7","Graduated from college/university","Graduated from college/university"
"3.0283879E7","Graduated from college/university","Graduated from college/university"
"3.0377193E7","Graduated from college/university","Graduated from college/university"
"2.9613469E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.0144376E7","Graduate school","Graduate school"
"3.0150109E7","Graduated from college/university","Graduate school"
"3.0345356E7","Graduate school","Graduate school"
"3.0337387E7","Graduated from college/university","Graduated from college/university"
"3.0374554E7","Graduated from college/university",""
"3.0307552E7","Graduate school","Graduated from college/university"
"3.017217E7","Graduate school","Graduated trade school"
"3.0186795E7","Graduated from college/university","Graduate school"
"3.0276742E7","Graduated from college/university","Graduate school"
"3.0502864E7","Some college/university","Graduated from college/university"
"3.0139059E7","Graduated from college/university","Some college/university"
"3.053708E7","Completed grade/primary school","Some high/secondary school"
"3.0187081E7","Graduated from college/university","Graduated from college/university"
"3.0397993E7","Graduated from college/university","Graduated from college/university"
"3.0390024E7","Graduated from college/university","Graduated trade school"
